,easting,northing,elevation_od,chainage,fc,profile,reg_id,survey_unit,date,year,month
876,307695.818,81982.986,-0.093,168.564,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
1844,307695.699,81982.148,0.23,169.41,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
1583,307695.672,81981.93,0.58,169.629,G,6a01613,6a01613,6aSU12,2023-05-07,2023,5
43,307695.671,81981.626,-0.024,169.929,G,6a01613,6a01613,6aSU12,2017-05-10,2017,5
1339,307695.608,81981.55,0.576,170.014,G,6a01613,6a01613,6aSU12,2022-04-20,2022,4
1845,307695.53,81981.263,0.582,170.311,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
1584,307695.306,81979.934,1.457,171.658,G,6a01613,6a01613,6aSU12,2023-05-07,2023,5
44,307695.271,81979.679,0.562,171.916,G,6a01613,6a01613,6aSU12,2017-05-10,2017,5
1846,307695.238,81979.579,1.336,172.02,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
1340,307695.183,81979.53,1.52,172.078,G,6a01613,6a01613,6aSU12,2022-04-20,2022,4
45,307695.068,81978.433,0.754,173.178,G,6a01613,6a01613,6aSU12,2017-05-10,2017,5
1005,307555.769,81994.459,0.734,174.233,M,6a01616,6a01616,6aSU12,2021-06-24,2021,6
1341,307694.817,81977.129,2.339,174.506,G,6a01613,6a01613,6aSU12,2022-04-20,2022,4
1474,307555.701,81994.07,0.667,174.627,M,6a01616,6a01616,6aSU12,2022-04-20,2022,4
181,307555.7,81994.047,0.6,174.65,M,6a01616,6a01616,6aSU12,2017-05-10,2017,5
1847,307694.735,81976.893,1.915,174.752,HW,6a01613,6a01613,6aSU12,2021-06-24,2021,6
1585,307694.688,81976.754,1.618,174.897,G,6a01613,6a01613,6aSU12,2023-05-07,2023,5
1700,307555.686,81993.727,0.737,174.969,M,6a01616,6a01616,6aSU12,2023-05-07,2023,5
46,307694.605,81976.107,1.367,175.549,G,6a01613,6a01613,6aSU12,2017-05-10,2017,5
1848,307694.577,81975.658,2.037,175.996,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
1475,307555.473,81992.488,0.865,176.226,M,6a01616,6a01616,6aSU12,2022-04-20,2022,4
1342,307694.43,81975.046,2.535,176.624,G,6a01613,6a01613,6aSU12,2022-04-20,2022,4
1006,307555.418,81991.884,0.882,176.832,M,6a01616,6a01616,6aSU12,2021-06-24,2021,6
182,307555.379,81991.518,0.875,177.199,M,6a01616,6a01616,6aSU12,2017-05-10,2017,5
1586,307694.356,81974.42,1.851,177.254,G,6a01613,6a01613,6aSU12,2023-05-07,2023,5
1701,307555.278,81990.887,0.953,177.838,M,6a01616,6a01616,6aSU12,2023-05-07,2023,5
47,307694.171,81973.507,2.021,178.185,G,6a01613,6a01613,6aSU12,2017-05-10,2017,5
1849,307694.087,81973.083,2.388,178.617,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
1476,307555.049,81989.43,1.005,179.313,M,6a01616,6a01616,6aSU12,2022-04-20,2022,4
1587,307693.936,81972.187,2.365,179.526,G,6a01613,6a01613,6aSU12,2023-05-07,2023,5
1007,307554.993,81989.097,1.025,179.651,M,6a01616,6a01616,6aSU12,2021-06-24,2021,6
1796,307555.009,81989.082,1.004,179.663,GM,6a01616,6a01616,6aSU12,2023-05-07,2023,5
1343,307693.914,81971.901,2.522,179.811,G,6a01613,6a01613,6aSU12,2022-04-20,2022,4
183,307554.94,81988.604,1.052,180.146,M,6a01616,6a01616,6aSU12,2017-05-10,2017,5
48,307693.652,81970.47,2.363,181.266,G,6a01613,6a01613,6aSU12,2017-05-10,2017,5
1850,307693.633,81970.285,2.593,181.451,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
1008,307554.648,81986.682,1.157,182.09,M,6a01616,6a01616,6aSU12,2021-06-24,2021,6
1477,307554.697,81986.651,1.16,182.114,SM,6a01616,6a01616,6aSU12,2022-04-20,2022,4
1797,307554.6,81986.251,1.198,182.524,GM,6a01616,6a01616,6aSU12,2023-05-07,2023,5
1344,307693.38,81968.742,2.4,183.015,G,6a01613,6a01613,6aSU12,2022-04-20,2022,4
184,307554.501,81985.482,1.276,183.299,M,6a01616,6a01616,6aSU12,2017-05-10,2017,5
1588,307693.275,81968.365,2.522,183.404,G,6a01613,6a01613,6aSU12,2023-05-07,2023,5
1851,307693.085,81967.374,2.735,184.413,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
49,307693.087,81967.183,2.259,184.601,G,6a01613,6a01613,6aSU12,2017-05-10,2017,5
1009,307554.327,81984.155,1.422,184.637,G,6a01616,6a01616,6aSU12,2021-06-24,2021,6
1478,307554.288,81983.766,1.5,185.028,SM,6a01616,6a01616,6aSU12,2022-04-20,2022,4
1345,307692.924,81966.537,2.134,185.265,G,6a01613,6a01613,6aSU12,2022-04-20,2022,4
1798,307554.259,81983.45,1.55,185.345,GM,6a01616,6a01616,6aSU12,2023-05-07,2023,5
185,307554.096,81982.493,1.713,186.315,M,6a01616,6a01616,6aSU12,2017-05-10,2017,5
1852,307692.604,81964.777,2.663,187.054,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
1010,307553.945,81981.472,1.855,187.347,G,6a01616,6a01616,6aSU12,2021-06-24,2021,6
1589,307692.607,81964.335,2.242,187.489,G,6a01613,6a01613,6aSU12,2023-05-07,2023,5
50,307692.491,81963.999,2.127,187.84,G,6a01613,6a01613,6aSU12,2017-05-10,2017,5
1479,307553.841,81980.89,1.93,187.938,SM,6a01616,6a01616,6aSU12,2022-04-20,2022,4
1799,307553.898,81980.754,1.944,188.065,G,6a01616,6a01616,6aSU12,2023-05-07,2023,5
1346,307692.417,81963.609,1.753,188.237,G,6a01613,6a01613,6aSU12,2022-04-20,2022,4
186,307553.793,81980.278,1.982,188.551,G,6a01616,6a01616,6aSU12,2017-05-10,2017,5
1039,307602.25,81973.22,-0.208,189.135,G,6a01615,6a01615,6aSU12,2021-10-06,2021,10
1409,307602.322,81973.148,-0.263,189.195,G,6a01615,6a01615,6aSU12,2022-04-20,2022,4
551,307602.209,81972.775,-0.276,189.581,GS,6a01615,6a01615,6aSU12,2019-02-19,2019,2
1219,307602.226,81972.578,-0.203,189.773,G,6a01615,6a01615,6aSU12,2021-06-24,2021,6
1,307602.158,81972.505,-0.289,189.856,G,6a01615,6a01615,6aSU12,2016-09-16,2016,9
811,307602.159,81972.459,-0.225,189.901,G,6a01615,6a01615,6aSU12,2021-03-01,2021,3
1853,307692.085,81961.897,2.488,189.981,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
670,307602.193,81972.313,-0.208,190.04,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
496,307602.193,81972.313,-0.208,190.04,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
384,307602.082,81972.233,-0.17,190.136,G,6a01615,6a01615,6aSU12,2018-02-01,2018,2
1011,307553.554,81978.655,2.018,190.191,G,6a01616,6a01616,6aSU12,2021-06-24,2021,6
385,307602.057,81972.022,-0.151,190.349,G,6a01615,6a01615,6aSU12,2018-02-01,2018,2
51,307692.063,81961.291,1.995,190.581,G,6a01613,6a01613,6aSU12,2017-05-10,2017,5
1220,307602.058,81971.712,-0.068,190.655,G,6a01615,6a01615,6aSU12,2021-06-24,2021,6
497,307602.102,81971.695,-0.124,190.665,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
671,307602.102,81971.695,-0.124,190.665,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
609,307602.056,81971.661,-0.082,190.705,W,6a01615,6a01615,6aSU12,2019-10-01,2019,10
552,307602.049,81971.59,-0.11,190.777,GS,6a01615,6a01615,6aSU12,2019-02-19,2019,2
1537,307601.925,81971.441,-0.019,190.943,G,6a01615,6a01615,6aSU12,2023-02-24,2023,2
117,307602.017,81971.323,-0.028,191.045,M,6a01615,6a01615,6aSU12,2017-05-10,2017,5
1480,307553.445,81977.734,2.063,191.118,SM,6a01616,6a01616,6aSU12,2022-04-20,2022,4
2,307601.986,81971.163,-0.074,191.208,G,6a01615,6a01615,6aSU12,2016-09-16,2016,9
1800,307553.453,81977.509,2.076,191.34,G,6a01616,6a01616,6aSU12,2023-05-07,2023,5
1040,307602.01,81970.947,0.125,191.418,G,6a01615,6a01615,6aSU12,2021-10-06,2021,10
386,307601.932,81970.907,0.018,191.469,G,6a01615,6a01615,6aSU12,2018-02-01,2018,2
1410,307601.872,81970.905,0.13,191.481,G,6a01615,6a01615,6aSU12,2022-04-20,2022,4
741,307601.892,81970.861,0.094,191.521,G,6a01615,6a01615,6aSU12,2020-10-18,2020,10
1590,307691.867,81960.289,1.963,191.602,G,6a01613,6a01613,6aSU12,2023-05-07,2023,5
187,307553.353,81977.232,2.067,191.628,G,6a01616,6a01616,6aSU12,2017-05-10,2017,5
