,2016-06-07,2016-09-21,2016-12-03,2017-02-07,2017-05-13,2017-10-10,2017-10-24,2018-01-09,2018-01-31,2018-03-09,2018-07-15,2018-10-25,2019-01-25,2019-05-07,2019-10-01,2020-02-25,2020-06-25,2020-10-18,2021-02-18,2021-03-01,2021-04-29,2021-10-06,2022-05-15,2022-10-08,2023-01-22,2023-04-20
6a01440,26.4608447457,29.6957386144,19.0486664472,20.8665138721,31.389139743,31.9049983305,24.1593937256,3.6677636613,29.195722433,8.818812842,22.9161974563,16.6684054988,24.1002376539,22.1376792319,32.9245316572,21.1945764144,30.6806015332,27.4513517123,26.0443341063,28.297141601,30.3818415486,28.3765788129,33.6755434069,31.1297892185,15.1487467563,22.5704011591
6a01441,28.793908769,29.2957692847,24.3934157349,21.7443446,37.6154358351,30.9974865029,24.8324693302,4.1374771638,29.8990748097,9.0245855334,27.2782413631,26.4944063636,30.3348030979,27.3875093052,30.9881150819,22.7957154414,31.8391260286,27.5813483554,21.636006392,34.5506049555,30.1651504832,29.883683798,32.0452980867,38.2098150432,23.3412681906,24.9972736986
6a01442,72.0568650103,75.5049048154,106.6749465865,96.9184981299,109.1624921998,92.351557545,87.795963873,45.6794489386,81.9590459661,99.5498253354,114.4750681508,107.8895360058,89.0499834242,106.9430071417,92.8151422275,71.7659700709,124.1382689808,88.1865305363,108.3997824852,93.2495416047,123.080478379,112.500283114,121.4987257239,85.7784158606,90.2804791866,74.8383052493
6a01443,91.4887495967,93.7016222994,110.265650709,110.265650709,97.8046288117,120.59232160010001,110.265650709,110.265650709,115.9978750416,110.265650709,118.2112115003,116.3730724483,114.1246908822,109.9000125613,121.736531302,116.6016152331,108.3169055998,108.9215641303,110.265650709,108.7874994657,92.8174237965,115.5483967275,115.1065770944,122.9465775545,109.5439807363,106.7917577994
6a01444,46.0633512919,47.1561022048,62.6694733679,62.6694733679,71.4127499371,65.5882076257,63.6757254579,62.6694733679,63.4115483895,62.6694733679,68.058730463,68.0580077866,62.3380174915,64.3167293057,67.5525239208,58.0138297897,60.3269445812,65.3736551826,62.6694733679,61.8530924419,65.624216394,62.4457051924,64.4125810467,66.7824368286,62.2460627427,61.3487226507
6a01445,83.3869288457,115.2885033136,93.3335503178,89.2305750979,83.6916411976,117.8608864929,121.5298916894,93.3335503178,105.240744552,93.3335503178,91.1594419992,106.8965558286,89.9331603336,67.3795218733,111.2330447513,113.0371514024,61.385672982,90.6801055031,93.3335503178,77.1625017198,67.1685108807,102.6479935628,66.5489539825,108.1702382067,96.3059514095,87.4001313678
6a01446,81.4980782979,84.2650322624,70.6174170092,79.6244423705,74.1412036069,88.4795094004,85.6742248091,57.0206507163,89.4756194564,74.5824412604,75.1855270187,78.6706598302,81.9069198546,81.9842621083,81.8618852242,79.8444012299,70.6110893096,74.3724054651,75.796195717,78.1322216226,56.3773816356,77.842249402,65.6233374733,78.6557962392,70.5001500607,76.3185609154
6a01447,94.7954192078,66.4779917321,76.2069268946,76.2069268946,111.8894004155,58.9226127549,51.0756407479,76.2069268946,60.5575180317,76.2069268946,95.5759523361,74.0556588921,74.7804162028,97.0347839774,53.7874842017,48.1428533345,106.8850243234,74.834785064,76.2069268946,72.1858774494,116.2554288656,56.335847048,96.1972204281,54.190789278,65.0671569344,71.2976035603
6a01448,78.5166672915,118.0319990822,96.854422836,96.854422836,70.5315135259,135.0928925914,137.7905136718,96.854422836,123.5275398587,96.854422836,83.319814254,109.489591386,91.4616097139,76.4130130196,117.2131657649,138.2000426974,48.0573326945,77.8614082443,96.854422836,85.1786866077,52.0725430153,112.3492165853,55.7173351854,104.8746972104,119.6536815802,98.5896155764
6a01449,117.6797674667,119.421058968,111.6983478381,112.5026704921,114.6197270284,122.4353516539,117.2603235173,104.2435710408,116.1239358333,104.6757671088,112.6828659103,111.2574770851,115.2154381843,109.2086444368,110.8803946152,111.0866949696,104.0898913953,107.1254022734,104.7594447913,111.6971358829,104.4759779037,108.2389361506,102.1184472443,108.5433371958,107.737422684,106.2055807485
6a01450,177.7079255152,143.6579665408,145.2409706083,145.2409706083,188.3690337629,124.3828305348,116.80036195,145.2409706083,129.4364262891,145.2409706083,166.7797919581,139.1214091372,145.4590433092,162.6211593233,119.7746856464,112.7022007684,196.7454641966,151.3419821356,145.2409706083,136.8200055333,174.7170546646,116.3885222467,172.9261133847,126.4618377297,121.9957267523,125.8508413955
6a01451,148.7822205215,166.1222213216,151.445129869,151.445129869,130.6347213757,154.8744028762,151.445129869,151.445129869,169.4488876178,151.445129869,133.7454186961,147.4666795373,141.6462059448,145.4455819162,153.6477344012,184.3518366072,146.3705260273,147.5803401259,151.445129869,138.383290497,136.274515767,144.7333487421,140.8979131855,149.2763223373,180.116727239,169.1037026427
6a01453A,313.4472918935,328.4565289076,289.3361272414,263.6817226535,299.2032792218,327.7835875775,328.2963834596,268.0907768209,331.5768066313,272.9395892436,299.4662812428,327.8636340965,319.8098261215,308.2473887433,316.2539353912,353.1642845885,302.7411110914,310.7231231383,297.6351489173,322.9964919942,303.5663161167,337.6836046286,312.2571526988,334.7607383692,346.1161942514,342.7363670262
6a01454,376.9360945974,405.7937249445,388.2758058934,388.2758058934,357.6494178625,420.6367485383,388.2758058934,388.2758058934,407.1040932125,388.2758058934,359.5500366947,392.9392725859,381.4303342218,356.7988359128,364.1029391386,418.1820438452,353.738448362,364.9973697011,388.2758058934,370.5781062887,358.1183574928,419.823359176,372.542989465,411.6809161628,441.0445678284,431.8684618364
6a01456,313.5589904421,291.3664126638,331.6620760107,293.4809470231,335.7282225012,294.2652364197,293.9082637985,269.9919399611,296.9612087906,304.3985091278,317.7798045645,309.0279079171,298.4412619686,309.2922349269,296.6502238483,263.8336263364,327.7283781798,320.3091968059,293.8764745013,292.4168961355,318.9981011313,291.3635350954,325.5707488599,311.3174889063,286.1774206573,305.9491421425
6a01463,124.4374263645,151.8467950479,124.6581846407,124.6581846407,104.125108291,135.3175506665,124.6581846407,124.6581846407,147.4551890688,124.6581846407,110.9144568961,116.3387553265,108.8298933006,99.7634082632,124.1748069736,140.8289438504,108.7193118525,132.1316936672,124.6581846407,127.4424036197,104.4630768831,119.2438214799,129.5439068914,124.6581846407,124.6581846407,158.2707750894
